資料日期,代號,名稱,收盤,漲跌,開盤,最高,最低,成交股數,成交金額,成交筆數,最後買價,最後賣價,發行股數,次日漲停價,次日跌停價
"1120207","00679B","元大美債20年","31.98","-0.10","31.91","32.00","31.90","17990000","574652380","5879","31.97","31.98","1695692000","9999.95","0.01"
"1120207","00687B","國泰20年美債","33.18","-0.04","33.10","33.19","33.09","2236000","74148570","227","33.17","33.18","268287000","9999.95","0.01"
"1120207","00694B","富邦美債1-3","37.59","+0.08","37.52","37.59","37.52","176000","6615120","16","37.58","37.60","109576000","9999.95","0.01"
"1120207","00695B","富邦美債7-10","33.95","-0.08","33.93","33.97","33.90","253000","8590650","23","33.96","33.99","22186000","9999.95","0.01"
"1120207","00696B","富邦美債20年","33.55","-0.08","33.55","33.60","33.50","1403000","47093630","140","33.54","33.55","577681000","9999.95","0.01"
"1120207","00697B","元大美債7-10","35.36","-0.08","35.34","35.36","35.27","205000","7241870","74","35.36","35.40","12212000","9999.95","0.01"
"1120207","00718B","富邦中國政策債","20.17","+0.04","20.15","20.23","20.13","71000","1430720","12","20.17","20.19","622501000","9999.95","0.01"
"1120207","00719B","元大美債1-3","29.90","+0.03","29.90","29.91","29.87","355000","10612200","89","29.89","29.90","170514000","9999.95","0.01"
"1120207","00720B","元大投資級公司債","34.84","-0.12","34.85","34.85","34.75","11194000","389475860","3933","34.84","34.85","1302109000","9999.95","0.01"
"1120207","00721B","元大中國債3-5","46.03","+0.03","46.00","46.03","46.00","72000","3314100","5","45.98","46.10","4622000","9999.95","0.01"
"1120207","00722B","群益15年IG電信債","37.79","-0.18","37.90","37.90","37.74","130000","4911160","30","37.78","37.79","986239000","9999.95","0.01"
"1120207","00723B","群益15年IG科技債","33.36","-0.14","33.47","33.47","33.34","127000","4235990","21","33.35","33.36","1239083000","9999.95","0.01"
"1120207","00724B","群益10年IG金融債","34.02","0.00","34.02","34.10","33.99","304000","10343230","73","34.01","34.02","2492775000","9999.95","0.01"
"1120207","00725B","國泰投資級公司債","36.38","-0.10","36.47","36.47","36.34","2898000","105475080","439","36.37","36.38","1734706000","9999.95","0.01"
"1120207","00726B","國泰5Y+新興債","33.33","-0.08","33.31","33.34","33.28","349000","11625350","43","33.33","33.34","1127989000","9999.95","0.01"
